transcript_ref,transcript_base,transcript_version
NM_000884.3,NM_000884,3
NM_000885.6,NM_000885,6
NM_000887.5,NM_000887,5
NM_000888.5,NM_000888,5
NM_000889.3,NM_000889,3
NM_000890.5,NM_000890,5
NM_000891.3,NM_000891,3
NM_000892.5,NM_000892,5
NM_000893.4,NM_000893,4
NM_000894.3,NM_000894,3
NM_000895.3,NM_000895,3
NM_000896.3,NM_000896,3
NM_000897.2,NM_000897,2
NM_000898.5,NM_000898,5
NM_000899.5,NM_000899,5
NM_000900.5,NM_000900,5
NM_000901.5,NM_000901,5
NM_000902.5,NM_000902,5
NM_000903.3,NM_000903,3
NM_000904.6,NM_000904,6
NM_000905.4,NM_000905,4
NM_000906.4,NM_000906,4
NM_000907.2,NM_000907,2
NM_000908.4,NM_000908,4
NM_000909.6,NM_000909,6
NM_000910.4,NM_000910,4
NM_000911.4,NM_000911,4
NM_000912.5,NM_000912,5
NM_000913.6,NM_000913,6
NM_000914.5,NM_000914,5
NM_000915.4,NM_000915,4
NM_000916.4,NM_000916,4
